true_label,predicted_label,confidence,action,expected_action,response_time_ms
benign,benign,0.7797580292528786,allow,allow,16.996457999994163
benign,benign,0.8483781098172325,allow,allow,24.188226998376194
benign,benign,0.9180540622797895,allow,allow,24.00851899983536
attack,attack,0.98,block,block,13.15481900019222
attack,attack,0.9101398601398601,block,block,13.417742999081383
attack,attack,0.98,block,block,24.267937000331585
benign,benign,0.8879940307262796,allow,allow,23.562631000459078
benign,benign,0.9753379958189099,allow,allow,14.36122700033593
benign,benign,0.9875872984551224,allow,allow,14.588033000109135
attack,attack,1.0,block,block,14.055341998755466
attack,attack,1.0,block,block,14.391995000551105
attack,attack,0.97,block,block,14.007661999130505
benign,benign,0.9001534659664611,allow,allow,25.25133599920082
benign,benign,0.9790936372451202,allow,allow,24.184309999327525
benign,benign,0.7791601547526926,allow,allow,13.8802420005959
attack,attack,0.9,block,block,12.846970001191949
attack,attack,0.99,block,block,14.771343001484638
attack,attack,1.0,block,block,23.849395000070217
benign,benign,0.9085310216613242,allow,allow,15.454106000106549
benign,benign,0.9890215314110163,allow,allow,14.498845999696641
benign,benign,0.5453426398294622,allow,allow,24.267221000627615
attack,attack,1.0,block,block,13.27337200018519
attack,attack,1.0,block,block,23.902875000203494
attack,attack,1.0,block,block,23.877683001046535
benign,benign,0.988814251251499,allow,allow,24.74311199875956
benign,benign,0.988211368052788,allow,allow,24.349119999897084
benign,benign,0.962076723813978,allow,allow,24.84946000004129
attack,attack,1.0,block,block,14.340227000502637
attack,attack,0.98,block,block,26.69185199920321
attack,attack,0.98,block,block,29.829363998942426
benign,suspicious,0.6012276870562264,redirect,allow,38.22105200015358
benign,benign,0.8163690377814397,allow,allow,24.733783000556286
benign,benign,0.9617683748115798,allow,allow,24.345703999642865
attack,attack,0.98,block,block,13.656050999998115
attack,attack,0.95,block,block,24.195870999392355
attack,attack,1.0,block,block,13.200393999795779
benign,benign,0.9387008002743107,allow,allow,13.468036999256583
benign,benign,0.9660155864507881,allow,allow,23.6226839988376
benign,benign,0.9704401426370091,allow,allow,23.639615001229686
attack,attack,0.97,block,block,14.56609199885861
attack,attack,1.0,block,block,15.160096998442896
attack,attack,1.0,block,block,25.470159998803865
benign,benign,0.9101340410495713,allow,allow,14.00158099932014
benign,benign,0.9437954585632208,allow,allow,15.408060999106965
benign,benign,0.9384618071501396,allow,allow,24.760137999692233
attack,attack,0.99,block,block,23.726329000055557
attack,attack,1.0,block,block,13.691116999325459
attack,attack,1.0,block,block,24.35168499869178
benign,benign,0.8051028823941815,allow,allow,13.138558000719058
benign,benign,0.9828203771811893,allow,allow,23.439249000148266
benign,benign,0.9873669665725605,allow,allow,14.042006998352008
attack,attack,1.0,block,block,13.684072999240016
attack,attack,0.98,block,block,24.014700000407174
attack,attack,0.98,block,block,24.39011699971161
benign,benign,0.9184662599899195,allow,allow,25.894165000863723
benign,benign,0.9365553164028144,allow,allow,13.281145000291872
benign,benign,0.8776743638854159,allow,allow,23.817089000658598
attack,attack,1.0,block,block,24.94128299986187
attack,attack,0.91,block,block,24.152318999767886
attack,attack,0.99,block,block,13.544350998927257
benign,benign,0.7944856048993983,allow,allow,13.51538599919877
benign,benign,0.9159145406787753,allow,allow,24.356854999496136
benign,benign,0.92033113748481,allow,allow,12.778259999322472
attack,attack,1.0,block,block,12.933472000440815
attack,attack,0.99,block,block,23.856914000134566
attack,attack,1.0,block,block,13.907693999499315
benign,benign,0.9620028005144138,allow,allow,12.664116000451031
benign,benign,0.9039847388932791,allow,allow,23.40096700027061
benign,benign,0.95823268157078,allow,allow,13.37243799935095
attack,attack,0.98,block,block,24.66254900173226
attack,attack,1.0,block,block,13.164175001293188
attack,attack,0.99,block,block,23.574271999677876
benign,benign,0.9172396607912117,allow,allow,14.09692099878157
benign,benign,0.8578816577441466,allow,allow,14.95853099913802
benign,benign,0.9989316026577675,allow,allow,13.891833999878145
attack,attack,0.93,block,block,12.89788500071154
attack,attack,0.99,block,block,13.83126000109769
attack,attack,1.0,block,block,13.614081999548944
benign,benign,0.7213924278966608,allow,allow,13.889900999856764
benign,benign,0.9183857097285465,allow,allow,13.837242000590777
benign,benign,0.974648021069373,allow,allow,13.338644001123612
attack,attack,1.0,block,block,23.998721000680234
attack,attack,1.0,block,block,24.19792500040785
attack,attack,1.0,block,block,13.107799999488634
benign,benign,0.8379275751364698,allow,allow,13.440475999232149
benign,benign,0.9874538521561095,allow,allow,13.597310999102774
benign,benign,0.7676519036518852,allow,allow,13.991010999234277
attack,attack,1.0,block,block,23.63693000006606
attack,attack,1.0,block,block,24.476480000885203
attack,attack,1.0,block,block,26.474546999452286
benign,benign,0.959424742998107,allow,allow,39.050315999702434
benign,benign,0.9157689016360254,allow,allow,16.037920000599115
benign,benign,0.6768127799452328,allow,allow,14.355105999129592
attack,attack,0.97,block,block,23.24958200006222
attack,attack,0.98,block,block,23.3901160008827
attack,attack,0.99,block,block,13.436496999929659
benign,suspicious,0.5131885591841511,redirect,allow,24.238322001110646
benign,benign,0.996825739462642,allow,allow,23.72396399914578
benign,benign,0.957838058232455,allow,allow,23.66159800112655
attack,attack,1.0,block,block,23.711346000709455
attack,attack,0.98,block,block,14.677036000648513
attack,attack,0.99,block,block,13.726021999900695
benign,benign,0.9115542982351215,allow,allow,25.763359999473323
benign,benign,0.7793338737421557,allow,allow,14.26646899926709
benign,benign,0.989099160401751,allow,allow,24.265001999083324
attack,attack,0.86,block,block,24.33314900008554
attack,attack,0.9933333333333333,block,block,23.871561999840196
attack,attack,0.99,block,block,14.061863999813795
benign,benign,0.9884097558763308,allow,allow,15.302296998925158
benign,benign,0.8431897684193372,allow,allow,14.027309000084642
benign,benign,0.8476881742489587,allow,allow,24.86088199839287
attack,attack,1.0,block,block,23.9628340004856
attack,attack,1.0,block,block,24.245184000392328
attack,attack,1.0,block,block,24.485025000103633
benign,benign,0.979381412616182,allow,allow,13.13115400080278
